"","chr"
"1","chr1.5"
"2","chr1.6"
"3","chr1.7"
"4","chr1.8"
"5","chr1.9"
"6","chr1.11"
"7","chr1.12"
"8","chr1.15"
"9","chr1.16"
"10","chr1.19"
"11","chr1.20"
"12","chr1.21"
"13","chr1.23"
"14","chr1.24"
"15","chr1.25"
"16","chr1.31"
"17","chr1.32"
"18","chr1.33"
"19","chr1.34"
"20","chr1.35"
"21","chr1.36"
"22","chr1.37"
"23","chr1.38"
"24","chr1.39"
"25","chr1.42"
"26","chr1.43"
"27","chr1.44"
"28","chr1.45"
"29","chr1.49"
"30","chr1.51"
"31","chr1.52"
"32","chr1.53"
"33","chr1.54"
"34","chr1.55"
"35","chr1.56"
"36","chr1.57"
"37","chr1.58"
"38","chr1.60"
"39","chr1.61"
"40","chr1.62"
"41","chr1.63"
"42","chr1.64"
"43","chr1.65"
"44","chr1.66"
"45","chr1.67"
"46","chr1.68"
"47","chr1.69"
"48","chr1.70"
"49","chr1.71"
"50","chr1.72"
"51","chr1.73"
"52","chr1.74"
"53","chr1.75"
"54","chr1.76"
"55","chr1.77"
"56","chr1.78"
"57","chr1.79"
"58","chr1.80"
"59","chr1.81"
"60","chr1.82"
"61","chr1.83"
"62","chr1.85"
"63","chr1.86"
"64","chr1.87"
"65","chr1.88"
"66","chr1.89"
"67","chr1.90"
"68","chr1.91"
"69","chr1.92"
"70","chr1.93"
"71","chr1.95"
"72","chr1.96"
"73","chr1.97"
"74","chr1.98"
"75","chr1.99"
"76","chr1.100"
"77","chr1.101"
"78","chr1.102"
"79","chr1.103"
"80","chr1.106"
"81","chr1.107"
"82","chr1.108"
"83","chr1.110"
"84","chr1.111"
"85","chr1.112"
"86","chr1.113"
"87","chr1.115"
"88","chr1.116"
"89","chr1.117"
"90","chr1.118"
"91","chr1.119"
"92","chr1.120"
"93","chr1.149"
"94","chr1.150"
"95","chr1.152"
"96","chr1.154"
"97","chr1.155"
"98","chr1.156"
"99","chr1.157"
"100","chr1.160"
"101","chr1.161"
"102","chr1.162"
"103","chr1.164"
"104","chr1.165"
"105","chr1.166"
"106","chr1.167"
"107","chr1.168"
"108","chr1.169"
"109","chr1.170"
"110","chr1.172"
"111","chr1.173"
"112","chr1.174"
"113","chr1.175"
"114","chr1.177"
"115","chr1.178"
"116","chr1.179"
"117","chr1.180"
"118","chr1.181"
"119","chr1.182"
"120","chr1.183"
"121","chr1.184"
"122","chr1.185"
"123","chr1.186"
"124","chr1.187"
"125","chr1.188"
"126","chr1.189"
"127","chr1.190"
"128","chr1.191"
"129","chr1.192"
"130","chr1.193"
"131","chr1.195"
"132","chr1.196"
"133","chr1.197"
"134","chr1.198"
"135","chr1.200"
"136","chr1.201"
"137","chr1.202"
"138","chr1.204"
"139","chr1.206"
"140","chr1.207"
"141","chr1.208"
"142","chr1.209"
"143","chr1.210"
"144","chr1.211"
"145","chr1.212"
"146","chr1.213"
"147","chr1.214"
"148","chr1.215"
"149","chr1.216"
"150","chr1.217"
"151","chr1.218"
"152","chr1.219"
"153","chr1.222"
"154","chr1.223"
"155","chr1.224"
"156","chr1.225"
"157","chr1.227"
"158","chr1.228"
"159","chr1.229"
"160","chr1.230"
"161","chr1.231"
"162","chr1.233"
"163","chr1.234"
"164","chr1.235"
"165","chr1.236"
"166","chr1.237"
"167","chr1.238"
"168","chr1.241"
"169","chr1.242"
"170","chr1.243"
"171","chr10.2"
"172","chr10.3"
"173","chr10.4"
"174","chr10.5"
"175","chr10.7"
"176","chr10.8"
"177","chr10.9"
"178","chr10.10"
"179","chr10.11"
"180","chr10.12"
"181","chr10.14"
"182","chr10.15"
"183","chr10.16"
"184","chr10.17"
"185","chr10.20"
"186","chr10.21"
"187","chr10.22"
"188","chr10.23"
"189","chr10.24"
"190","chr10.25"
"191","chr10.26"
"192","chr10.27"
"193","chr10.28"
"194","chr10.29"
"195","chr10.30"
"196","chr10.31"
"197","chr10.32"
"198","chr10.34"
"199","chr10.35"
"200","chr10.36"
"201","chr10.37"
"202","chr10.41"
"203","chr10.42"
"204","chr10.51"
"205","chr10.52"
"206","chr10.53"
"207","chr10.55"
"208","chr10.56"
"209","chr10.57"
"210","chr10.58"
"211","chr10.59"
"212","chr10.60"
"213","chr10.61"
"214","chr10.62"
"215","chr10.63"
"216","chr10.64"
"217","chr10.65"
"218","chr10.69"
"219","chr10.70"
"220","chr10.71"
"221","chr10.74"
"222","chr10.75"
"223","chr10.76"
"224","chr10.77"
"225","chr10.78"
"226","chr10.80"
"227","chr10.81"
"228","chr10.82"
"229","chr10.83"
"230","chr10.84"
"231","chr10.85"
"232","chr10.87"
"233","chr10.88"
"234","chr10.89"
"235","chr10.90"
"236","chr10.92"
"237","chr10.93"
"238","chr10.95"
"239","chr10.96"
"240","chr10.97"
"241","chr10.100"
"242","chr10.101"
"243","chr10.103"
"244","chr10.104"
"245","chr10.105"
"246","chr10.106"
"247","chr10.107"
"248","chr10.108"
"249","chr10.109"
"250","chr10.110"
"251","chr10.111"
"252","chr10.112"
"253","chr10.113"
"254","chr10.114"
"255","chr10.115"
"256","chr10.116"
"257","chr10.117"
"258","chr10.118"
"259","chr10.119"
"260","chr10.120"
"261","chr10.121"
"262","chr10.122"
"263","chr10.123"
"264","chr10.124"
"265","chr10.125"
"266","chr10.127"
"267","chr10.128"
"268","chr10.129"
"269","chr10.130"
"270","chr10.132"
"271","chr11.3"
"272","chr11.6"
"273","chr11.7"
"274","chr11.8"
"275","chr11.9"
"276","chr11.11"
"277","chr11.12"
"278","chr11.13"
"279","chr11.14"
"280","chr11.16"
"281","chr11.17"
"282","chr11.18"
"283","chr11.20"
"284","chr11.21"
"285","chr11.22"
"286","chr11.23"
"287","chr11.24"
"288","chr11.25"
"289","chr11.26"
"290","chr11.27"
"291","chr11.28"
"292","chr11.29"
"293","chr11.30"
"294","chr11.31"
"295","chr11.32"
"296","chr11.33"
"297","chr11.34"
"298","chr11.35"
"299","chr11.36"
"300","chr11.37"
"301","chr11.38"
"302","chr11.39"
"303","chr11.40"
"304","chr11.41"
"305","chr11.42"
"306","chr11.43"
"307","chr11.44"
"308","chr11.45"
"309","chr11.46"
"310","chr11.47"
"311","chr11.53"
"312","chr11.54"
"313","chr11.55"
"314","chr11.56"
"315","chr11.57"
"316","chr11.61"
"317","chr11.62"
"318","chr11.69"
"319","chr11.70"
"320","chr11.71"
"321","chr11.72"
"322","chr11.73"
"323","chr11.74"
"324","chr11.75"
"325","chr11.76"
"326","chr11.77"
"327","chr11.78"
"328","chr11.79"
"329","chr11.80"
"330","chr11.82"
"331","chr11.83"
"332","chr11.84"
"333","chr11.88"
"334","chr11.89"
"335","chr11.90"
"336","chr11.91"
"337","chr11.92"
"338","chr11.94"
"339","chr11.95"
"340","chr11.96"
"341","chr11.97"
"342","chr11.98"
"343","chr11.99"
"344","chr11.100"
"345","chr11.101"
"346","chr11.102"
"347","chr11.103"
"348","chr11.104"
"349","chr11.106"
"350","chr11.107"
"351","chr11.108"
"352","chr11.109"
"353","chr11.110"
"354","chr11.111"
"355","chr11.112"
"356","chr11.113"
"357","chr11.114"
"358","chr11.115"
"359","chr11.116"
"360","chr11.117"
"361","chr11.118"
"362","chr11.119"
"363","chr11.120"
"364","chr11.121"
"365","chr11.122"
"366","chr11.123"
"367","chr11.124"
"368","chr11.125"
"369","chr11.126"
"370","chr11.127"
"371","chr11.128"
"372","chr11.129"
"373","chr11.130"
"374","chr11.131"
"375","chr12.2"
"376","chr12.3"
"377","chr12.4"
"378","chr12.5"
"379","chr12.6"
"380","chr12.7"
"381","chr12.11"
"382","chr12.12"
"383","chr12.13"
"384","chr12.14"
"385","chr12.15"
"386","chr12.16"
"387","chr12.17"
"388","chr12.18"
"389","chr12.19"
"390","chr12.20"
"391","chr12.21"
"392","chr12.22"
"393","chr12.23"
"394","chr12.24"
"395","chr12.25"
"396","chr12.26"
"397","chr12.27"
"398","chr12.28"
"399","chr12.29"
"400","chr12.30"
"401","chr12.31"
"402","chr12.34"
"403","chr12.36"
"404","chr12.37"
"405","chr12.38"
"406","chr12.39"
"407","chr12.40"
"408","chr12.41"
"409","chr12.42"
"410","chr12.43"
"411","chr12.44"
"412","chr12.45"
"413","chr12.47"
"414","chr12.49"
"415","chr12.50"
"416","chr12.51"
"417","chr12.55"
"418","chr12.56"
"419","chr12.57"
"420","chr12.58"
"421","chr12.59"
"422","chr12.60"
"423","chr12.62"
"424","chr12.63"
"425","chr12.64"
"426","chr12.65"
"427","chr12.66"
"428","chr12.67"
"429","chr12.68"
"430","chr12.69"
"431","chr12.70"
"432","chr12.71"
"433","chr12.72"
"434","chr12.73"
"435","chr12.74"
"436","chr12.75"
"437","chr12.76"
"438","chr12.77"
"439","chr12.78"
"440","chr12.79"
"441","chr12.80"
"442","chr12.81"
"443","chr12.82"
"444","chr12.83"
"445","chr12.84"
"446","chr12.85"
"447","chr12.86"
"448","chr12.87"
"449","chr12.88"
"450","chr12.89"
"451","chr12.90"
"452","chr12.91"
"453","chr12.92"
"454","chr12.93"
"455","chr12.94"
"456","chr12.95"
"457","chr12.96"
"458","chr12.97"
"459","chr12.98"
"460","chr12.99"
"461","chr12.100"
"462","chr12.101"
"463","chr12.102"
"464","chr12.103"
"465","chr12.104"
"466","chr12.105"
"467","chr12.107"
"468","chr12.108"
"469","chr12.110"
"470","chr12.111"
"471","chr12.112"
"472","chr12.113"
"473","chr12.114"
"474","chr12.115"
"475","chr12.116"
"476","chr12.117"
"477","chr12.121"
"478","chr12.122"
"479","chr12.123"
"480","chr12.124"
"481","chr12.125"
"482","chr12.126"
"483","chr12.127"
"484","chr12.128"
"485","chr13.18"
"486","chr13.19"
"487","chr13.20"
"488","chr13.21"
"489","chr13.23"
"490","chr13.24"
"491","chr13.25"
"492","chr13.26"
"493","chr13.27"
"494","chr13.28"
"495","chr13.29"
"496","chr13.30"
"497","chr13.31"
"498","chr13.32"
"499","chr13.33"
"500","chr13.34"
"501","chr13.35"
"502","chr13.36"
"503","chr13.37"
"504","chr13.39"
"505","chr13.40"
"506","chr13.41"
"507","chr13.42"
"508","chr13.43"
"509","chr13.44"
"510","chr13.45"
"511","chr13.46"
"512","chr13.47"
"513","chr13.48"
"514","chr13.51"
"515","chr13.52"
"516","chr13.53"
"517","chr13.54"
"518","chr13.55"
"519","chr13.56"
"520","chr13.57"
"521","chr13.58"
"522","chr13.59"
"523","chr13.60"
"524","chr13.62"
"525","chr13.63"
"526","chr13.64"
"527","chr13.65"
"528","chr13.66"
"529","chr13.67"
"530","chr13.68"
"531","chr13.69"
"532","chr13.70"
"533","chr13.71"
"534","chr13.72"
"535","chr13.73"
"536","chr13.74"
"537","chr13.75"
"538","chr13.76"
"539","chr13.77"
"540","chr13.78"
"541","chr13.79"
"542","chr13.80"
"543","chr13.81"
"544","chr13.82"
"545","chr13.84"
"546","chr13.85"
"547","chr13.86"
"548","chr13.87"
"549","chr13.88"
"550","chr13.89"
"551","chr13.90"
"552","chr13.92"
"553","chr13.93"
"554","chr13.94"
"555","chr13.95"
"556","chr13.96"
"557","chr13.97"
"558","chr13.98"
"559","chr13.99"
"560","chr13.100"
"561","chr13.101"
"562","chr13.102"
"563","chr13.103"
"564","chr13.104"
"565","chr13.105"
"566","chr13.106"
"567","chr13.107"
"568","chr13.108"
"569","chr13.110"
"570","chr14.18"
"571","chr14.19"
"572","chr14.22"
"573","chr14.23"
"574","chr14.24"
"575","chr14.25"
"576","chr14.26"
"577","chr14.27"
"578","chr14.28"
"579","chr14.29"
"580","chr14.30"
"581","chr14.31"
"582","chr14.33"
"583","chr14.34"
"584","chr14.35"
"585","chr14.37"
"586","chr14.38"
"587","chr14.39"
"588","chr14.40"
"589","chr14.41"
"590","chr14.43"
"591","chr14.44"
"592","chr14.45"
"593","chr14.46"
"594","chr14.47"
"595","chr14.48"
"596","chr14.49"
"597","chr14.50"
"598","chr14.51"
"599","chr14.52"
"600","chr14.53"
"601","chr14.54"
"602","chr14.55"
"603","chr14.56"
"604","chr14.57"
"605","chr14.58"
"606","chr14.59"
"607","chr14.60"
"608","chr14.61"
"609","chr14.62"
"610","chr14.63"
"611","chr14.64"
"612","chr14.65"
"613","chr14.66"
"614","chr14.67"
"615","chr14.68"
"616","chr14.69"
"617","chr14.70"
"618","chr14.72"
"619","chr14.73"
"620","chr14.74"
"621","chr14.75"
"622","chr14.77"
"623","chr14.78"
"624","chr14.79"
"625","chr14.80"
"626","chr14.81"
"627","chr14.82"
"628","chr14.83"
"629","chr14.84"
"630","chr14.85"
"631","chr14.86"
"632","chr14.87"
"633","chr14.88"
"634","chr14.89"
"635","chr14.90"
"636","chr14.91"
"637","chr14.92"
"638","chr14.93"
"639","chr14.94"
"640","chr14.95"
"641","chr14.96"
"642","chr14.97"
"643","chr14.98"
"644","chr14.99"
"645","chr14.100"
"646","chr14.101"
"647","chr14.102"
"648","chr15.22"
"649","chr15.23"
"650","chr15.24"
"651","chr15.30"
"652","chr15.32"
"653","chr15.33"
"654","chr15.34"
"655","chr15.35"
"656","chr15.36"
"657","chr15.37"
"658","chr15.39"
"659","chr15.43"
"660","chr15.44"
"661","chr15.45"
"662","chr15.46"
"663","chr15.47"
"664","chr15.48"
"665","chr15.49"
"666","chr15.50"
"667","chr15.51"
"668","chr15.53"
"669","chr15.54"
"670","chr15.55"
"671","chr15.56"
"672","chr15.57"
"673","chr15.58"
"674","chr15.59"
"675","chr15.60"
"676","chr15.61"
"677","chr15.62"
"678","chr15.63"
"679","chr15.64"
"680","chr15.65"
"681","chr15.66"
"682","chr15.67"
"683","chr15.68"
"684","chr15.70"
"685","chr15.73"
"686","chr15.74"
"687","chr15.75"
"688","chr15.76"
"689","chr15.77"
"690","chr15.78"
"691","chr15.83"
"692","chr15.84"
"693","chr15.85"
"694","chr15.86"
"695","chr15.88"
"696","chr15.89"
"697","chr15.90"
"698","chr15.91"
"699","chr15.92"
"700","chr15.93"
"701","chr15.94"
"702","chr15.95"
"703","chr15.96"
"704","chr15.97"
"705","chr15.98"
"706","chr16.2"
"707","chr16.4"
"708","chr16.5"
"709","chr16.6"
"710","chr16.8"
"711","chr16.10"
"712","chr16.11"
"713","chr16.12"
"714","chr16.13"
"715","chr16.14"
"716","chr16.18"
"717","chr16.20"
"718","chr16.24"
"719","chr16.25"
"720","chr16.26"
"721","chr16.27"
"722","chr16.28"
"723","chr16.45"
"724","chr16.46"
"725","chr16.47"
"726","chr16.48"
"727","chr16.49"
"728","chr16.50"
"729","chr16.51"
"730","chr16.52"
"731","chr16.53"
"732","chr16.54"
"733","chr16.55"
"734","chr16.56"
"735","chr16.57"
"736","chr16.58"
"737","chr16.59"
"738","chr16.60"
"739","chr16.61"
"740","chr16.62"
"741","chr16.63"
"742","chr16.64"
"743","chr16.69"
"744","chr16.70"
"745","chr16.71"
"746","chr16.73"
"747","chr16.74"
"748","chr16.75"
"749","chr16.76"
"750","chr16.77"
"751","chr16.78"
"752","chr16.79"
"753","chr16.80"
"754","chr16.81"
"755","chr16.82"
"756","chr16.83"
"757","chr16.84"
"758","chr17.6"
"759","chr17.7"
"760","chr17.9"
"761","chr17.11"
