"","ColoRect-AdenoCA_cluster_1","ColoRect-AdenoCA_cluster_2","ColoRect-AdenoCA_cluster_3","ColoRect-AdenoCA_cluster_4","ColoRect-AdenoCA_cluster_5","ColoRect-AdenoCA_cluster_6","ColoRect-AdenoCA_cluster_7","ColoRect-AdenoCA_cluster_8","ColoRect-AdenoCA_cluster_9","ColoRect-AdenoCA_clusters_6_8_9","Panc-AdenoCA_cluster_1","Panc-AdenoCA_cluster_2","Panc-AdenoCA_cluster_3","Panc-AdenoCA_cluster_4","Panc-AdenoCA_cluster_5","Panc-AdenoCA_cluster_6","Panc-AdenoCA_cluster_7","Panc-AdenoCA_cluster_8","Panc-AdenoCA_cluster_9"
"chr1.5",478,2674,33,92,67,5,12,10,12,27,189,201,213,159,34,12,119,28,0
"chr1.6",445,2569,22,66,53,3,6,9,7,19,178,182,154,122,37,7,118,33,0
"chr1.7",207,1202,11,33,21,1,12,3,4,8,71,77,45,45,17,6,48,23,0
"chr1.8",294,2064,15,42,17,3,12,11,7,21,96,111,54,60,20,3,63,19,0
"chr1.9",241,1537,7,31,13,2,5,2,4,8,47,63,55,46,19,2,60,16,0
"chr1.11",163,1198,9,18,21,2,11,3,3,8,55,58,55,31,19,3,55,27,2
"chr1.12",243,1471,9,36,26,1,6,3,4,8,59,80,76,50,19,5,55,20,2
"chr1.15",328,2380,8,46,26,1,8,4,8,13,94,103,86,81,29,7,88,27,0
"chr1.16",269,1463,12,34,14,1,7,3,2,6,55,58,50,45,20,6,64,22,1
"chr1.19",389,1995,16,40,26,1,5,7,8,16,78,95,58,65,32,3,49,25,0
"chr1.20",181,1281,8,26,15,1,12,3,5,9,49,71,43,49,9,2,46,23,0
"chr1.21",210,1589,14,22,14,2,7,4,4,10,59,81,65,35,23,2,50,24,0
"chr1.23",245,1371,4,31,20,0,5,6,4,10,53,79,46,44,8,4,45,18,1
"chr1.24",188,1339,7,18,15,0,12,4,5,9,54,54,45,40,22,2,33,21,0
"chr1.25",164,1244,5,21,16,1,11,3,8,12,31,43,30,22,8,1,31,15,0
"chr1.31",369,2409,13,42,43,3,8,5,5,13,111,106,92,83,18,3,85,34,0
"chr1.32",226,1609,11,34,14,2,5,5,6,13,41,86,31,40,19,2,47,25,0
"chr1.33",194,1293,12,23,15,2,6,2,6,10,43,67,46,30,18,3,54,13,0
"chr1.34",225,1438,10,22,13,2,12,9,6,17,41,65,47,38,15,1,37,21,0
"chr1.35",414,2712,27,54,27,1,9,6,7,14,119,146,96,99,27,12,97,33,0
"chr1.36",298,2014,12,37,24,0,15,4,5,9,58,102,48,54,9,3,76,22,0
"chr1.37",244,1575,11,27,19,1,4,5,5,11,62,94,42,36,13,5,55,21,0
"chr1.38",355,2172,25,47,47,3,5,9,5,17,131,114,80,87,22,10,86,39,0
"chr1.39",320,1969,9,44,18,1,9,4,6,11,70,92,56,49,18,4,66,28,0
"chr1.42",222,1667,9,29,17,3,5,5,3,11,53,74,47,38,21,6,58,30,1
"chr1.43",347,2209,11,35,28,3,5,2,5,10,45,84,49,36,14,3,69,22,0
"chr1.44",281,1808,8,33,18,1,11,2,4,7,46,71,49,36,21,4,54,28,0
"chr1.45",274,1612,11,40,15,2,10,5,5,12,60,82,40,34,19,2,53,36,0
"chr1.49",279,1923,7,28,19,1,4,2,5,8,52,98,48,42,18,4,61,21,0
"chr1.51",408,2859,30,76,46,1,5,3,7,11,161,150,104,80,26,11,110,37,0
"chr1.52",255,2039,13,20,20,4,5,5,7,16,54,70,38,29,22,2,48,29,0
"chr1.53",260,1836,11,23,22,1,7,6,1,8,44,57,35,46,15,2,62,35,0
"chr1.54",283,1798,14,32,13,1,9,4,5,10,58,73,55,43,25,6,63,22,0
"chr1.55",219,1485,15,32,9,2,6,1,5,8,56,65,55,47,24,0,53,35,0
"chr1.56",248,1717,9,30,14,0,12,6,10,16,60,88,40,43,19,4,62,25,0
"chr1.57",346,2846,15,48,55,8,15,8,9,25,90,123,77,64,30,13,80,31,0
"chr1.58",448,3173,25,64,70,0,6,5,9,14,90,111,58,70,31,3,99,38,0
"chr1.60",208,1844,8,29,20,2,9,2,6,10,28,72,37,29,13,4,54,35,0
