,kidney_clear_cell,kidney_papillary,melanoma_acral_lentiginuous,melanoma_desmoplastic,melanoma_mucosal_lentiginous,melanoma_nodular,melanoma_superificial_spreading,colorectal_nos,colorectal_adeno_nos,colorectal_adeno_mucinous,CIN,GS,MSI,POLE
chr1.5,290,61,85,2,3,1412,1180,17,2000,1366,190,45,12,2080
chr1.6,309,62,74,4,8,1497,1257,8,1880,1292,155,28,6,1997
chr1.7,199,60,20,1,0,428,384,3,818,673,62,8,12,997
chr1.8,195,57,32,5,4,784,621,0,1450,1015,77,12,12,1691
chr1.9,228,67,32,1,1,553,412,1,968,873,46,11,5,1254
chr1.11,230,68,30,1,3,516,381,5,789,634,51,7,11,996
chr1.12,256,72,30,3,0,640,533,5,1014,780,79,9,6,1168
chr1.15,213,53,41,0,2,640,541,4,1585,1220,88,15,8,1871
chr1.16,189,58,32,0,1,488,375,4,1026,775,67,7,7,1204
chr1.19,272,54,69,2,3,1544,1109,9,1365,1113,91,13,5,1592
chr1.20,214,65,52,2,1,675,431,4,840,688,55,8,12,1049
chr1.21,223,68,32,1,4,951,681,1,1008,857,52,5,7,1278
chr1.23,241,60,53,3,5,711,475,4,910,772,66,9,5,1124
chr1.24,214,72,32,0,4,713,535,5,881,702,48,6,12,1099
chr1.25,193,76,30,3,0,508,307,2,813,658,42,8,11,1019
chr1.31,273,60,94,4,7,1339,842,9,1633,1255,112,16,8,1982
chr1.32,209,50,29,2,2,685,489,4,1062,846,61,6,5,1308
chr1.33,195,60,26,1,3,532,365,5,816,732,47,7,6,1083
chr1.34,186,63,31,0,1,495,322,4,924,809,45,10,12,1190
chr1.35,288,62,76,2,6,2217,1685,11,1836,1410,103,14,9,2166
chr1.36,197,57,55,1,3,891,693,5,1343,1061,79,8,15,1631
chr1.37,212,64,22,1,2,464,342,6,1002,883,68,7,4,1287
chr1.38,261,56,57,2,5,1164,743,10,1515,1143,137,18,5,1761
chr1.39,204,78,33,2,3,1099,767,3,1342,1035,69,15,9,1645
chr1.42,216,51,34,3,1,558,395,4,1121,835,60,10,5,1359
chr1.43,209,50,45,3,3,635,460,7,1456,1182,83,13,5,1805
chr1.44,194,67,44,0,2,705,477,7,1176,983,63,15,11,1508
chr1.45,201,69,38,0,0,551,396,5,1043,926,66,6,10,1313
chr1.49,208,71,54,3,4,802,600,4,1234,1030,59,9,4,1576
chr1.51,215,58,78,2,6,1684,1066,13,1792,1630,154,30,5,2309
chr1.52,189,56,40,0,3,535,364,4,1309,1055,55,16,5,1686
chr1.53,215,60,17,1,5,400,262,3,1174,990,52,11,7,1495
chr1.54,215,76,36,2,2,680,480,6,1200,953,61,10,9,1455
chr1.55,202,48,22,2,4,611,425,5,974,795,65,7,6,1225
chr1.56,197,60,36,1,2,945,615,3,1105,938,56,13,12,1449
chr1.57,196,67,92,2,4,1695,1226,13,1915,1422,153,20,15,2285
chr1.58,234,67,102,4,4,2455,1803,19,2177,1604,177,31,6,2517
chr1.60,197,52,37,1,4,853,660,1,1196,931,42,10,9,1506
chr1.61,245,71,31,1,3,1038,654,2,1447,1149,59,18,11,1856
chr1.62,231,75,26,3,0,644,409,6,1403,1053,74,11,8,1719
chr1.63,228,64,30,3,11,758,519,6,1136,984,53,11,11,1524
chr1.64,221,66,22,3,1,460,341,6,1480,1289,73,14,5,1939
chr1.65,207,53,25,0,3,652,518,14,1702,1268,73,11,7,2085
chr1.66,208,71,30,1,3,509,358,1,1262,1084,60,15,7,1641
chr1.67,261,57,23,2,1,967,705,5,1833,1372,85,13,7,2327
chr1.68,218,50,22,3,1,565,382,6,1496,1273,75,11,13,1959
chr1.69,190,73,27,4,5,615,424,9,1458,1143,80,10,8,1804
chr1.70,254,66,54,3,11,1560,1239,28,2955,2029,264,50,15,3292
chr1.71,231,61,29,2,4,837,583,22,1959,1521,132,28,5,2387
chr1.72,199,75,63,3,4,2048,1368,27,2134,1649,151,34,12,2645
chr1.73,261,67,40,3,5,1273,721,31,2389,1962,206,49,11,3061
chr1.74,463,77,107,0,7,2851,2070,25,2911,2349,232,59,6,3685
chr1.75,317,43,64,2,9,1886,1390,12,2465,1843,161,35,9,3037
chr1.76,315,62,75,2,3,2402,1728,30,2735,1862,220,56,13,3093
chr1.77,258,72,37,1,3,806,544,17,2058,1601,153,28,9,2520
chr1.78,278,65,61,0,7,1088,702,10,2100,1535,122,31,10,2512
chr1.79,193,76,48,2,9,1306,1002,10,1464,1179,97,15,6,1799
chr1.80,349,66,71,1,8,1643,1026,34,2605,2002,247,47,10,3024
chr1.81,276,57,73,2,8,2102,1540,31,3142,2324,369,81,8,3577
chr1.82,296,49,68,2,5,1574,969,26,2984,2229,283,69,11,3511
chr1.83,287,60,78,5,0,1849,1151,28,2527,1936,248,44,7,3104
chr1.85,181,54,35,2,4,422,331,9,1509,1265,86,14,3,1984
chr1.86,221,65,14,3,3,570,436,6,1520,1158,66,11,5,1915
chr1.87,233,78,26,2,3,515,413,9,1797,1411,99,13,1,2324
chr1.88,220,68,31,2,3,685,515,4,1478,1188,74,14,5,1908
chr1.89,262,70,38,0,2,1481,1129,7,2055,1482,89,11,10,2550
chr1.90,207,63,31,3,5,620,442,10,1575,1297,80,10,10,2016
chr1.91,236,69,33,0,5,1296,857,13,1571,1310,78,15,10,2048
chr1.92,246,63,27,4,5,970,664,15,1710,1358,104,17,5,2107
chr1.93,232,57,27,2,4,703,464,2,1422,1137,69,12,8,1751
chr1.95,187,55,26,0,4,659,559,5,1278,1016,58,9,3,1658
chr1.96,180,63,26,0,4,815,564,9,1122,1005,50,13,8,1539
chr1.97,399,65,75,3,4,2032,1607,27,2451,1805,212,41,8,2931
chr1.98,296,68,58,2,5,2214,1577,34,2536,1866,215,62,8,2995
chr1.99,347,58,44,0,5,1723,1299,27,2530,1811,212,36,8,2886
chr1.100,219,53,47,2,30,876,615,22,2067,1633,147,29,5,2598
chr1.101,196,54,18,3,8,531,414,6,1394,1115,69,10,9,1748
chr1.102,247,55,58,6,8,1172,789,8,1916,1433,115,24,6,2284
chr1.103,432,71,70,1,8,1824,1337,28,2310,1831,202,30,9,2815
chr1.106,530,73,88,3,5,1761,1087,35,3405,2337,312,58,7,3689
chr1.107,426,67,111,5,8,2927,2110,20,3217,2296,249,43,14,3703
chr1.108,410,56,87,5,5,2296,1612,35,2772,2058,231,37,13,3191
