,MSKScaled
chr1.5,-2.6289607684346
chr1.6,-4.51695148471413
chr1.7,-1.26658789749951
chr1.8,-1.44662015429605
chr1.9,-1.33871903446951
chr1.11,-1.19599451344403
chr1.12,-2.48483228439968
chr1.15,0.551538163785207
chr1.16,-3.00837850184518
chr1.19,-6.15241940647351
chr1.20,-2.45393758682026
chr1.21,-7.79771157270674
chr1.23,-2.62008650049334
chr1.24,-0.0937139562850015
chr1.25,-3.5010735367992
chr1.31,-0.842320128862458
chr1.32,-3.16647688586282
chr1.33,-2.76904439291193
chr1.34,-4.80690391898104
chr1.35,-2.65473336046594
chr1.36,-3.13834334706401
chr1.37,-4.44320710785099
chr1.38,-6.77516591962211
chr1.39,-2.92293036598406
chr1.42,-5.13623156349442
chr1.43,-5.83204597150832
chr1.44,-5.5340921123245
chr1.45,-6.50499387225561
chr1.49,0.469193951898295
chr1.51,-4.82561870837608
chr1.52,-2.37551287935674
chr1.53,-5.63747363025792
chr1.54,-1.84748008497675
chr1.55,-2.25407051179487
chr1.56,-0.566042214169444
chr1.57,-0.0915775244911181
chr1.58,-3.70454338307693
chr1.60,-7.81697062208304
chr1.61,-4.62250300010018
chr1.62,-3.15437554553842
chr1.63,-5.19858751530615
chr1.64,-0.238363403650623
chr1.65,-2.62704658215758
chr1.66,-4.37184008239361
chr1.67,-3.31389298615349
chr1.68,-5.8409076825834
chr1.69,-6.57971695059691
chr1.70,6.80403729775553
chr1.71,0.0511039377796059
chr1.72,-2.37116088451306
chr1.73,-6.53483851075729
chr1.74,0.0467012365890157
chr1.75,-4.78808873585802
chr1.76,2.28427754992543
chr1.77,1.02390228581599
chr1.78,-4.56630146585246
chr1.79,-1.73347419096779
chr1.80,4.44491580690187
chr1.81,5.88021598563978
chr1.82,5.6144028848765
chr1.83,-4.92898349235996
chr1.85,-6.13694938376641
chr1.86,-5.5394332838435
chr1.87,2.4680830984037
chr1.88,-1.70817871084105
chr1.89,-3.57563194446106
chr1.90,3.53795736123786
chr1.91,-3.9480431444268
chr1.92,2.05494116692528
chr1.93,-1.26887748690671
chr1.95,-6.92493240294202
chr1.96,-6.76814436811852
chr1.97,-0.319981690439906
chr1.98,-4.43507177780411
chr1.99,-3.64442533515958
chr1.100,5.69607467256044
chr1.101,-0.397595264817241
chr1.102,-4.43327581583115
chr1.103,4.08853702912434
chr1.106,11.7616669475185
chr1.107,12.5167874391241
chr1.108,-0.563122305781833
chr1.110,-3.80098173494025
chr1.111,-8.35629836971746
chr1.112,-4.60780359191318
chr1.113,-4.36298404175465
chr1.115,-3.40439004868039
chr1.116,-2.03049941543566
chr1.117,-5.09813553520425
chr1.118,-1.68285200556897
chr1.119,-1.52108909427564
chr1.120,1.77681157035196
chr1.149,6.88771103359917
chr1.150,5.36834162473509
chr1.152,-0.788852081081959
chr1.154,-2.84438875255112
chr1.155,11.5543073310142
chr1.156,16.8027632413515
chr1.157,2.88654808683008
chr1.160,-3.05499052763242
chr1.161,-3.05153677846239
chr1.162,-4.21080820496315
chr1.164,1.4636204948308
chr1.165,-3.22053188314045
chr1.166,1.83838457572998
chr1.167,1.41071435941213
chr1.168,13.5626706457047
chr1.169,-2.85535577742841
chr1.170,8.88952941799792
chr1.172,-4.36743456475485
chr1.173,-3.10904285327548
chr1.174,-5.24943879779331
chr1.175,-4.08484222063276
chr1.177,-2.33160329707272
chr1.178,-1.99014973916681
chr1.179,0.000788052789545524
chr1.180,0.725687487779424
chr1.181,-0.209244761850266
chr1.182,-2.19191758412257
chr1.183,1.05961018776748
chr1.184,7.8613059318715
chr1.185,0.617250117697791
chr1.186,5.48894964039365
chr1.187,4.19638460443584
chr1.188,8.43918110045317
chr1.189,8.02702063923614
chr1.190,-3.67742256942852
chr1.191,1.11168139169371
chr1.192,7.06069581551809
chr1.193,0.452972475904058
chr1.195,-0.667760831139963
chr1.196,6.08701563584365
chr1.197,11.2872871767847
chr1.198,-1.86150885117403
chr1.200,-0.846802441390886
chr1.201,1.3126694078507
chr1.202,-5.29887348144863
chr1.204,-0.365333245424383
chr1.206,-0.697096513340003
chr1.207,-0.319617911536791
chr1.208,1.69244140654956
chr1.209,-3.24342648060246
chr1.210,-2.65824072541637
chr1.211,-8.77708758040193
chr1.212,7.86234776309593
chr1.213,0.955727850109034
chr1.214,1.07512386748018
chr1.215,0.072138332497947
chr1.216,-3.03507225863236
chr1.217,-0.00119342152054153
chr1.218,0.467855477747462
chr1.219,-3.5029393789323
chr1.222,-1.00646534912741
chr1.223,-2.1862159950663
chr1.224,-1.20317466750266
chr1.225,-2.40727116173326
chr1.227,-1.06876720044359
chr1.228,-2.6262322747691
chr1.229,-1.32391820178236
chr1.230,-7.0746319925659
chr1.231,2.32132240150589
chr1.233,-0.359362518631779
chr1.234,1.44009080448968
chr1.235,5.11978551249917
chr1.236,9.89153220868619
chr1.237,1.84343544888291
chr1.238,-2.47047997832211
chr1.241,1.30530483978049
chr1.242,-1.06735772809385
chr1.243,-1.65275680860822
chr2.2,-3.80977837415572
chr2.3,-2.87359696813836
chr2.5,-7.57727732819006
chr2.7,-9.44181556532012
chr2.8,-7.14755518182938
chr2.9,-4.71525467706376
chr2.10,-1.37450308967711
chr2.11,-3.95024878197678
chr2.12,-6.02632712689735
chr2.13,-3.73936948939097
chr2.14,-3.37817727301341
chr2.15,-1.78416344055006
chr2.16,-3.61250064181435
chr2.18,-7.45606982291907
chr2.19,-8.50872070697807
chr2.20,-6.66524468691399
chr2.21,-6.25635197678312
chr2.22,0.531381837380421
chr2.23,-6.27719684513055
chr2.24,-9.27507858749454
chr2.25,-6.40364970560793
chr2.26,-2.66635263454764
chr2.27,-4.11806324598071
chr2.28,-2.04734074186739
chr2.29,-1.9271514509098
chr2.30,-3.41507992118675
chr2.31,-7.29141593775042
chr2.32,-3.57282921140308
chr2.34,4.28698616023778
chr2.35,18.1608190533845
chr2.36,15.8939588506312
chr2.37,4.05356942584733
chr2.38,-4.21175001226658
chr2.39,6.05608634454872
chr2.40,-4.99266469114803
chr2.41,-4.00827653011511
chr2.42,2.76649796658119
chr2.43,-6.1556596111548
chr2.44,-3.81754483378769
chr2.45,-2.50045893755819
chr2.46,-9.99286971410721
chr2.47,-5.8600211256791
chr2.48,-4.5586849817145
chr2.49,-4.72457381159426
chr2.50,6.12928726062664
chr2.51,-3.77026402888037
chr2.52,-0.877539555965611
chr2.53,-3.28004333309828
chr2.54,-2.34276714606219
chr2.55,-7.29188176098286
chr2.56,-2.9724503762499
chr2.57,-0.307265172683115
chr2.58,-3.32602169462084
chr2.59,-6.15010179377506
chr2.60,-4.22221865334558
chr2.61,-4.64423784185873
chr2.62,-1.59306731752162
chr2.63,2.20224788629055
chr2.64,-5.06264217055042
chr2.65,-4.58157825972577
chr2.66,-6.11788529252086
chr2.67,4.79642474099114
chr2.68,-2.47018008862839
chr2.69,-2.56922550056722
chr2.70,-4.73041449558713
chr2.71,-1.77987697019351
chr2.72,0.469315420759217
chr2.73,-1.71324138631183
chr2.74,-4.69079786227216
chr2.75,-4.95633997677059
chr2.76,-2.87110399183848
chr2.77,9.00102510775667
chr2.78,15.6651967728285
chr2.79,14.4267391098674
chr2.80,7.14347230436924
chr2.81,10.6513200611706
chr2.82,11.312692199458
chr2.83,1.62358696322894
chr2.84,2.36615106446499
chr2.85,0.802111179171976
chr2.86,-0.0713334312511996
chr2.87,-6.83050515929219
chr2.96,-4.32705823701947
chr2.97,-7.03525908358815
chr2.98,-3.50778485342979
chr2.99,-3.86572490743378
chr2.100,-5.59461640331375
chr2.101,2.6994979232348
chr2.102,3.57378799987268
chr2.103,-3.40304783067746
chr2.105,8.96799891576827
chr2.114,4.14237420852421
chr2.115,0.601928982517664
chr2.116,5.21053772021149
chr2.117,3.77437050416748
chr2.118,-5.25415297332415
chr2.119,-2.36028016963345
chr2.120,-3.58190717454081
chr2.121,-0.674553488841115
chr2.122,4.04433882662337
chr2.123,4.41867830561057
chr2.124,5.49605764693138
chr2.125,-3.40646518093997
chr2.126,-1.43644255429706
chr2.127,7.86453945981473
chr2.131,-0.516442840809824
chr2.132,-4.07893962432128
chr2.134,0.873051236605457
chr2.135,8.23555053570983
chr2.136,-6.84428191391798
chr2.137,3.77156190570815
chr2.138,1.34713807613575
chr2.140,-1.29646290302767
chr2.141,2.52251829135938
chr2.142,3.39337541035841
chr2.143,-0.482644619246908
chr2.144,5.41199702363442
chr2.145,-4.0486978762296
chr2.146,-2.6668181231671
chr2.148,0.00553332808034646
chr2.149,-4.92656524856081
chr2.151,-8.8153661458075
chr2.152,-1.47933957215831
chr2.153,-6.81726091905718
chr2.154,-1.74929899843679
chr2.155,-1.8837189540012
chr2.156,-4.33459084677721
chr2.157,-5.65908352683479
chr2.158,1.20123010106543
chr2.159,10.1381676489099
chr2.160,0.439230279646346
chr2.161,-3.47910039314533
chr2.162,-1.37821007232517
chr2.163,-5.92464754131041
chr2.164,-3.62748891922395
chr2.165,5.60454099970715
chr2.166,-2.18107223112228
chr2.167,-2.39456675061016
chr2.168,-2.37935978952737
chr2.169,-4.03239566711185
chr2.170,1.94807399779873
chr2.171,-5.06924608729734
chr2.172,-3.12548047807456
chr2.173,-3.80040390967317
chr2.174,0.503570543069349
chr2.175,-5.98188449390125
chr2.176,-4.14187288222243
chr2.177,-3.11660793496481
chr2.178,-3.41231105541768
chr2.179,-2.55509731119398
chr2.180,1.87632455359774
chr2.181,-0.0325590864336015
chr2.182,-2.39388088234
chr2.183,8.00995356470137
chr2.184,1.01949774837248
chr2.185,0.703558490862981
chr2.186,2.50181103570908
chr2.187,-1.56994524925636
chr2.188,-1.81003344519865
chr2.189,-4.82523953198139
chr2.190,-1.61200086677374
chr2.191,2.25787799905601
chr2.192,4.06973865228765
chr2.193,-0.474620191019346
chr2.194,-0.61107167770474
chr2.195,-1.77085569233249
chr2.196,-0.726566691908635
chr2.197,2.11721830646468
chr2.198,-4.82823849334699
chr2.200,2.09077490047046
chr2.202,-3.38960069295997
chr2.203,-0.256931666995908
chr2.204,-0.513262796397612
chr2.205,-6.25963683298997
chr2.206,-4.87891991207374
chr2.208,-5.11629006892072
chr2.209,-4.60116775385299
chr2.211,-0.0781191169060235
chr2.213,-4.62215460901417
chr2.214,-6.18746063755694
chr2.215,-8.80849810365853
chr2.216,-2.5409592750235
chr2.217,-1.74377133083011
chr2.218,-2.47532463814983
chr2.219,-5.08901405781204
chr2.220,-8.90537237456311
chr2.221,0.598378008950521
chr2.222,-5.17453013718615
chr2.223,-3.5340298325499
chr2.224,-3.67277118372846
chr2.225,-4.32745058221484
chr2.226,0.706364928228639
chr2.227,-2.03348201926319
chr2.228,-2.98672919838452
chr2.229,-2.86693274845519
chr2.232,-1.39327092833292
chr2.233,-5.14579016641398
chr2.234,-6.07529342826477
chr2.235,-4.27932585864957
chr2.236,-1.82128514831164
chr2.237,-9.09867430280405
chr2.238,-2.15814766762756
chr2.239,-6.5469108703428
chr3.2,-3.17273640824167
chr3.3,0.781675243211631
chr3.4,1.10276466597508
chr3.5,2.85882288587668
chr3.6,5.25932176945289
chr3.7,-1.49289985200935
chr3.8,-1.78952944907642
chr3.9,-1.13969441579146
chr3.10,-3.83437830569783
chr3.11,0.667474231500506
chr3.12,-4.50651060607382
chr3.13,-4.68422281421611
chr3.14,-1.42851518121055
chr3.15,3.42073360347777
chr3.16,2.63413245387559
chr3.17,-3.64195710472368
chr3.18,-6.12294610458977
chr3.19,-2.73022637890935
chr3.20,2.76388661969829
chr3.21,3.08899049073148
chr3.22,6.18668504697898
chr3.23,12.4047376169728
chr3.24,-1.97592740310973
chr3.25,6.60038836268507
chr3.26,0.028828138361023
chr3.28,-1.83655378061023
chr3.29,4.44804270700052
chr3.30,-2.73893931612363
chr3.31,1.24735064659944
chr3.32,-8.31730010695544
chr3.33,-1.47017794119824
chr3.34,-3.25456433257009
chr3.35,-1.07932366040417
chr3.36,-3.7551395209472
