,Chromothripsis
chr1.5,5
chr1.6,7
chr1.7,2
chr1.8,2
chr1.9,3
chr1.11,4
chr1.12,5
chr1.15,3
chr1.16,1
chr1.19,2
chr1.20,1
chr1.21,2
chr1.23,1
chr1.24,2
chr1.25,2
chr1.31,7
chr1.32,5
chr1.33,2
chr1.34,1
chr1.35,3
chr1.36,3
chr1.37,0
chr1.38,3
chr1.39,6
chr1.42,1
chr1.43,2
chr1.44,2
chr1.45,2
chr1.49,5
chr1.51,2
chr1.52,2
chr1.53,2
chr1.54,1
chr1.55,4
chr1.56,2
chr1.57,3
chr1.58,1
chr1.60,3
chr1.61,3
chr1.62,3
chr1.63,2
chr1.64,1
chr1.65,5
chr1.66,3
chr1.67,3
chr1.68,1
chr1.69,0
chr1.70,7
chr1.71,3
chr1.72,3
chr1.73,2
chr1.74,2
chr1.75,2
chr1.76,7
chr1.77,8
chr1.78,4
chr1.79,1
chr1.80,9
chr1.81,3
chr1.82,8
chr1.83,1
chr1.85,1
chr1.86,3
chr1.87,6
chr1.88,0
chr1.89,7
chr1.90,1
chr1.91,4
chr1.92,3
chr1.93,1
chr1.95,1
chr1.96,1
chr1.97,4
chr1.98,4
chr1.99,3
chr1.100,9
chr1.101,3
chr1.102,6
chr1.103,8
chr1.106,13
chr1.107,7
chr1.108,3
chr1.110,5
chr1.111,3
chr1.112,1
chr1.113,1
chr1.115,1
chr1.116,4
chr1.117,4
chr1.118,5
chr1.119,2
chr1.120,3
chr1.149,2
chr1.150,5
chr1.152,1
chr1.154,5
chr1.155,12
chr1.156,7
chr1.157,7
chr1.160,2
chr1.161,5
chr1.162,4
chr1.164,11
chr1.165,4
chr1.166,4
chr1.167,11
chr1.168,13
chr1.169,4
chr1.170,4
chr1.172,0
chr1.173,5
chr1.174,5
chr1.175,3
chr1.177,2
chr1.178,3
chr1.179,5
chr1.180,4
chr1.181,3
chr1.182,5
chr1.183,2
chr1.184,8
chr1.185,1
chr1.186,12
chr1.187,10
chr1.188,10
chr1.189,7
chr1.190,2
chr1.191,5
chr1.192,5
chr1.193,3
chr1.195,1
chr1.196,4
chr1.197,4
chr1.198,1
chr1.200,4
chr1.201,4
chr1.202,1
chr1.204,3
chr1.206,1
chr1.207,6
chr1.208,6
chr1.209,3
chr1.210,8
chr1.211,1
chr1.212,3
chr1.213,2
chr1.214,6
chr1.215,5
chr1.216,3
chr1.217,1
chr1.218,8
chr1.219,1
chr1.222,1
chr1.223,5
chr1.224,3
chr1.225,3
chr1.227,3
chr1.228,0
chr1.229,0
chr1.230,4
chr1.231,2
chr1.233,6
chr1.234,3
chr1.235,10
chr1.236,11
chr1.237,2
chr1.238,4
chr1.241,4
chr1.242,4
chr1.243,3
chr10.2,5
chr10.3,0
chr10.4,1
chr10.5,3
chr10.7,2
chr10.8,2
chr10.9,7
chr10.10,9
chr10.11,9
chr10.12,1
chr10.14,4
chr10.15,3
chr10.16,3
chr10.17,4
chr10.20,2
chr10.21,1
chr10.22,3
chr10.23,2
chr10.24,5
chr10.25,7
chr10.26,7
chr10.27,14
chr10.28,2
chr10.29,3
chr10.30,5
chr10.31,1
chr10.32,1
chr10.34,2
chr10.35,2
chr10.36,2
chr10.37,1
chr10.41,6
chr10.42,11
chr10.51,9
chr10.52,21
chr10.53,13
chr10.55,20
chr10.56,18
chr10.57,12
chr10.58,1
chr10.59,1
chr10.60,3
chr10.61,2
chr10.62,8
chr10.63,7
chr10.64,9
chr10.65,1
chr10.69,2
chr10.70,11
chr10.71,0
chr10.74,3
chr10.75,2
chr10.76,0
chr10.77,2
chr10.78,3
chr10.80,9
chr10.81,6
chr10.82,4
chr10.83,5
chr10.84,9
chr10.85,3
chr10.87,2
chr10.88,1
chr10.89,3
chr10.90,2
chr10.92,5
chr10.93,4
chr10.95,3
chr10.96,5
chr10.97,6
chr10.100,3
chr10.101,2
chr10.103,3
chr10.104,7
chr10.105,8
chr10.106,9
chr10.107,6
chr10.108,5
chr10.109,3
chr10.110,6
chr10.111,4
chr10.112,7
chr10.113,5
chr10.114,4
chr10.115,10
chr10.116,5
chr10.117,8
chr10.118,4
chr10.119,7
chr10.120,6
chr10.121,3
chr10.122,2
chr10.123,1
chr10.124,2
chr10.125,5
chr10.127,2
chr10.128,8
chr10.129,6
chr10.130,2
chr10.132,1
chr11.3,11
chr11.6,12
chr11.7,13
chr11.8,6
chr11.9,6
chr11.11,7
chr11.12,8
chr11.13,8
chr11.14,8
chr11.16,18
chr11.17,9
chr11.18,7
chr11.20,12
chr11.21,6
chr11.22,13
chr11.23,8
chr11.24,3
chr11.25,7
chr11.26,15
chr11.27,10
chr11.28,11
chr11.29,21
chr11.30,7
chr11.31,15
chr11.32,8
chr11.33,14
chr11.34,9
chr11.35,14
chr11.36,16
chr11.37,11
chr11.38,11
chr11.39,7
chr11.40,6
chr11.41,4
chr11.42,31
chr11.43,10
chr11.44,8
chr11.45,16
chr11.46,16
chr11.47,13
chr11.53,17
chr11.54,11
chr11.55,10
chr11.56,17
chr11.57,13
chr11.61,12
chr11.62,21
chr11.69,11
chr11.70,3
chr11.71,13
chr11.72,10
chr11.73,11
chr11.74,3
chr11.75,12
chr11.76,6
chr11.77,10
chr11.78,5
chr11.79,12
chr11.80,12
chr11.82,13
chr11.83,9
chr11.84,13
chr11.88,6
chr11.89,9
chr11.90,11
chr11.91,15
chr11.92,5
chr11.94,16
chr11.95,15
chr11.96,15
chr11.97,10
chr11.98,10
chr11.99,8
chr11.100,5
chr11.101,10
chr11.102,16
chr11.103,12
chr11.104,11
chr11.106,9
chr11.107,7
chr11.108,13
chr11.109,8
chr11.110,7
chr11.111,22
chr11.112,7
chr11.113,10
chr11.114,11
chr11.115,9
chr11.116,9
chr11.117,6
chr11.118,19
chr11.119,14
chr11.120,23
chr11.121,9
