,MSKCCNo7
chr1.5,49
chr1.6,43
chr1.7,60
chr1.8,61
chr1.9,68
chr1.11,69
chr1.12,59
chr1.15,61
chr1.16,54
chr1.19,38
chr1.20,53
chr1.21,35
chr1.23,55
chr1.24,67
chr1.25,55
chr1.31,52
chr1.32,49
chr1.33,69
chr1.34,51
chr1.35,51
chr1.36,59
chr1.37,62
chr1.38,41
chr1.39,56
chr1.42,46
chr1.43,48
chr1.44,46
chr1.45,45
chr1.49,64
chr1.51,50
chr1.52,60
chr1.53,53
chr1.54,58
chr1.55,59
chr1.56,52
chr1.57,57
chr1.58,46
chr1.60,38
chr1.61,52
chr1.62,46
chr1.63,53
chr1.64,66
chr1.65,43
chr1.66,50
chr1.67,53
chr1.68,44
chr1.69,43
chr1.70,89
chr1.71,67
chr1.72,45
chr1.73,38
chr1.74,57
chr1.75,45
chr1.76,64
chr1.77,64
chr1.78,44
chr1.79,61
chr1.80,79
chr1.81,83
chr1.82,70
chr1.83,48
chr1.85,41
chr1.86,42
chr1.87,77
chr1.88,56
chr1.89,56
chr1.90,81
chr1.91,49
chr1.92,69
chr1.93,69
chr1.95,43
chr1.96,44
chr1.97,63
chr1.98,52
chr1.99,46
chr1.100,79
chr1.101,70
chr1.102,48
chr1.103,79
chr1.106,96
chr1.107,100
chr1.108,54
chr1.110,58
chr1.111,31
chr1.112,44
chr1.113,50
chr1.115,53
chr1.116,57
chr1.117,43
chr1.118,55
chr1.119,56
chr1.120,73
chr1.149,82
chr1.150,79
chr1.152,74
chr1.154,56
chr1.155,101
chr1.156,115
chr1.157,72
chr1.160,56
chr1.161,59
chr1.162,47
chr1.164,68
chr1.165,58
chr1.166,74
chr1.167,74
chr1.168,100
chr1.169,58
chr1.170,91
chr1.172,49
chr1.173,59
chr1.174,53
chr1.175,53
chr1.177,64
chr1.178,57
chr1.179,59
chr1.180,63
chr1.181,65
chr1.182,54
chr1.183,68
chr1.184,88
chr1.185,62
chr1.186,81
chr1.187,73
chr1.188,84
chr1.189,81
chr1.190,49
chr1.191,69
chr1.192,74
chr1.193,55
chr1.195,55
chr1.196,74
chr1.197,103
chr1.198,62
chr1.200,66
chr1.201,79
chr1.202,44
chr1.204,57
chr1.206,62
chr1.207,59
chr1.208,69
chr1.209,46
chr1.210,61
chr1.211,33
chr1.212,82
chr1.213,65
chr1.214,59
chr1.215,71
chr1.216,54
chr1.217,72
chr1.218,63
chr1.219,54
chr1.222,69
chr1.223,65
chr1.224,66
chr1.225,55
chr1.227,62
chr1.228,54
chr1.229,67
chr1.230,47
chr1.231,66
chr1.233,72
chr1.234,70
chr1.235,80
chr1.236,90
chr1.237,67
chr1.238,58
chr1.241,71
chr1.242,64
chr1.243,57
chr2.2,52
chr2.3,62
chr2.5,41
chr2.7,35
chr2.8,40
chr2.9,48
chr2.10,63
chr2.11,58
chr2.12,49
chr2.13,57
chr2.14,58
chr2.15,65
chr2.16,56
chr2.18,45
chr2.19,43
chr2.20,52
chr2.21,48
chr2.22,75
chr2.23,46
chr2.24,34
chr2.25,52
chr2.26,74
chr2.27,64
chr2.28,66
chr2.29,65
chr2.30,61
chr2.31,42
chr2.32,59
chr2.34,78
chr2.35,120
chr2.36,117
chr2.37,74
chr2.38,60
chr2.39,98
chr2.40,55
chr2.41,54
chr2.42,76
chr2.43,56
chr2.44,57
chr2.45,59
chr2.46,33
chr2.47,53
chr2.48,58
chr2.49,60
chr2.50,85
chr2.51,55
chr2.52,63
chr2.53,55
chr2.54,56
chr2.55,44
chr2.56,61
chr2.57,71
chr2.58,57
chr2.59,42
chr2.60,49
chr2.61,54
chr2.62,67
chr2.63,83
chr2.64,57
chr2.65,53
chr2.66,54
chr2.67,84
chr2.68,59
chr2.69,66
chr2.70,54
chr2.71,69
chr2.72,66
chr2.73,64
chr2.74,57
chr2.75,53
chr2.76,61
chr2.77,83
chr2.78,109
chr2.79,102
chr2.80,87
chr2.81,88
chr2.82,102
chr2.83,73
chr2.84,68
chr2.85,68
chr2.86,75
chr2.87,49
chr2.96,57
chr2.97,51
chr2.98,64
chr2.99,57
chr2.100,48
chr2.101,78
chr2.102,70
chr2.103,63
chr2.105,83
chr2.114,78
chr2.115,69
chr2.116,80
chr2.117,78
chr2.118,56
chr2.119,53
chr2.120,61
chr2.121,59
chr2.122,83
chr2.123,78
chr2.124,76
chr2.125,44
chr2.126,64
chr2.127,90
chr2.131,64
chr2.132,45
chr2.134,64
chr2.135,89
chr2.136,43
chr2.137,62
chr2.138,67
chr2.140,59
chr2.141,65
chr2.142,64
chr2.143,62
chr2.144,82
chr2.145,51
chr2.146,63
chr2.148,67
chr2.149,55
chr2.151,40
chr2.152,60
chr2.153,41
chr2.154,62
chr2.155,55
chr2.156,53
chr2.157,45
chr2.158,68
chr2.159,93
chr2.160,60
chr2.161,49
chr2.162,62
chr2.163,40
chr2.164,55
chr2.165,82
